student_id,term_key,major_name,risk_label,term_gpa,failed_course_count,borderline_course_count,failed_course_ratio,dim_academic_base_score,dim_appraisal_status_alert_score,dim_class_engagement_score,dim_daily_routine_boundary_score,dim_library_immersion_score,dim_network_habits_score,dim_online_activeness_score,dim_physical_resilience_score,dataset_split
pjwrqxbj901,2024-1,应用化学,1,2.6166666666666667,2.0,0.0,0.1538461538461538,0.66,0.0,0.79,0.0,0.0,0.0,1.0,0.0,train
pjwrqxbj901,2024-2,应用化学,0,2.071428571428572,0.0,2.0,0.0,0.87,0.0,1.0,0.0,0.0,0.0,1.0,0.0,train
pjwrqxbj905,2023-2,应用化学,0,3.309090909090909,0.0,2.0,0.0,0.87,0.0,0.0,0.0,0.0,0.0,1.0,0.51,train
pjwrqxbj905,2024-1,应用化学,1,2.84,1.0,0.0,0.1,0.81,0.0,0.78,0.0,0.0,0.0,1.0,0.0,train
pjwrqxbj905,2024-2,应用化学,0,2.2,0.0,1.0,0.0,0.93,0.0,0.8,0.0,0.0,0.0,1.0,0.0,train
pjwrqxbj911,2023-2,纳米材料与技术,1,1.9428571428571428,0.0,1.0,0.0,0.93,0.12,0.0,0.75,0.13,0.0,1.0,0.0,train
pjwrqxbj911,2024-1,纳米材料与技术,0,,,,,0.0,0.12,0.0,0.75,0.13,0.0,1.0,0.0,train
pjwrqxbj911,2024-2,,0,,,,,0.0,0.12,0.0,0.75,0.13,0.0,1.0,0.0,train
pjwrqxbj913,2023-2,应用化学,0,2.02,0.0,1.0,0.0,0.93,0.0,0.0,0.0,0.0,0.0,1.0,0.54,train
pjwrqxbj916,2023-2,网络空间安全,0,2.0142857142857142,0.0,1.0,0.0,0.93,0.8,0.0,0.75,0.0,0.0,1.0,0.0,train
pjwrqxbj918,2023-2,纳米材料与技术,1,1.7857142857142858,0.0,1.0,0.0,0.93,0.0,0.0,0.0,0.0,0.0,1.0,0.0,train
pjwrqxbj918,2024-1,纳米材料与技术,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,train
pjwrqxbj919,2023-2,应用化学,1,1.6363636363636365,2.0,2.0,0.1818181818181818,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,train
pjwrqxbj919,2024-1,应用化学,1,1.175,2.0,2.0,0.5,0.37,0.0,0.5,0.0,0.0,0.0,1.0,0.0,train
pjwrqxbj919,2024-2,应用化学,1,1.8,0.0,1.0,0.0,0.93,0.0,0.52,0.0,0.0,0.0,1.0,0.0,train
pjwrqxbj920,2023-2,材料科学与工程,1,1.9,0.0,1.0,0.0,0.93,0.0,0.0,0.0,0.0,0.0,1.0,0.6,train
pjwrqxbj923,2023-2,数学与应用数学,1,1.6666666666666667,0.0,1.0,0.0,0.93,0.0,0.0,0.0,0.43,0.0,1.0,0.0,train
pjwrqxbj924,2023-2,纳米材料与技术,1,1.5666666666666669,0.0,1.0,0.0,0.93,0.12,0.0,0.75,0.0,0.0,1.0,0.53,train
pjwrqxbj925,2023-2,材料科学与工程,0,2.18,0.0,0.0,0.0,1.0,0.23,0.0,0.75,0.0,0.0,1.0,0.56,train
pjwrqxbj925,2024-1,,0,,,,,0.0,0.23,0.0,0.75,0.0,0.0,1.0,0.56,train
pjwrqxbj926,2023-2,材料科学与工程,0,2.283333333333333,0.0,1.0,0.0,0.93,0.0,0.0,0.75,0.0,0.0,1.0,0.55,train
pjwrqxbj929,2023-2,电子封装技术,0,2.74,0.0,1.0,0.0,0.93,0.23,0.0,0.75,0.0,0.0,1.0,0.65,train
pjwrqxbj932,2023-2,材料科学与工程,1,1.9,0.0,1.0,0.0,0.93,0.23,0.0,0.25,0.0,0.0,1.0,0.55,train
pjwrqxbj932,2024-1,,0,,,,,0.0,0.23,0.0,0.4,0.0,0.0,1.0,0.55,train
pjwrqxbj935,2023-2,材料科学与工程,1,1.88,0.0,1.0,0.0,0.93,0.0,0.0,0.0,0.0,0.0,1.0,0.64,train
pjwrqxbj938,2023-2,材料科学与工程,0,2.02,0.0,1.0,0.0,0.93,0.23,0.0,0.0,0.0,0.0,1.0,0.0,train
pjwrqxbj938,2024-1,材料科学与工程,0,,,,,0.0,0.23,0.0,0.0,0.0,0.0,1.0,0.0,train
pjwrqxbj944,2023-2,纳米材料与技术,1,1.8166666666666669,0.0,0.0,0.0,1.0,0.23,0.0,0.25,0.0,0.0,1.0,0.72,train
pjwrqxbj944,2024-1,纳米材料与技术,0,,,,,0.0,0.23,0.0,0.25,0.0,0.0,1.0,0.72,train
pjwrqxbj945,2023-2,材料科学与工程,1,1.9200000000000004,0.0,1.0,0.0,0.93,0.0,0.0,0.8,0.0,0.0,1.0,0.0,train
pjwrqxbj948,2023-2,纳米材料与技术,1,1.9,0.0,1.0,0.0,0.93,0.0,0.0,0.75,0.0,0.0,1.0,0.53,train
pjwrqxbj948,2024-1,纳米材料与技术,0,,,,,0.0,0.0,0.0,0.75,0.0,0.0,1.0,0.53,train
pjwrqxbj949,2023-2,材料科学与工程,0,2.02,0.0,1.0,0.0,0.93,0.23,0.0,0.4,0.0,0.04,1.0,0.65,train
pjwrqxbj951,2023-2,材料科学与工程,0,2.22,0.0,0.0,0.0,1.0,0.65,0.0,0.25,0.0,0.0,1.0,0.56,train
pjwrqxbj952,2023-2,应用化学,1,1.7166666666666668,2.0,1.0,0.1666666666666666,0.58,0.0,0.0,0.0,0.0,0.0,1.0,0.7,train
pjwrqxbj952,2024-1,应用化学,0,2.0,0.0,1.0,0.0,0.93,0.0,0.0,0.0,0.0,0.0,1.0,0.7,train
pjwrqxbj952,2024-2,应用化学,1,1.45,0.0,1.0,0.0,0.93,0.0,0.71,0.0,0.0,0.0,1.0,0.7,train
pjwrqxbj955,2023-2,纳米材料与技术,1,1.5833333333333333,0.0,1.0,0.0,0.93,0.0,0.0,0.0,0.0,0.0,1.0,0.0,train
pjwrqxbj955,2024-1,纳米材料与技术,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,train
pjwrqxbj956,2023-2,材料科学与工程,0,2.18,0.0,0.0,0.0,1.0,0.12,0.0,0.0,0.0,0.0,1.0,0.61,train
pjwrqxbj965,2023-2,材料科学与工程,0,2.3,0.0,0.0,0.0,1.0,0.44,0.0,0.0,0.0,0.0,1.0,0.83,train
pjwrqxbj967,2023-2,材料科学与工程,0,2.18,0.0,0.0,0.0,1.0,0.83,0.0,0.0,0.0,0.0,1.0,0.64,train
pjwrqxbj973,2023-2,电子信息工程,1,1.88,0.0,1.0,0.0,0.93,0.12,0.0,0.25,0.87,0.0,1.0,0.55,train
pjwrqxbj974,2023-2,纳米材料与技术,1,1.6833333333333331,0.0,1.0,0.0,0.93,0.23,0.0,0.25,0.0,0.0,1.0,0.0,train
pjwrqxbj974,2024-1,纳米材料与技术,0,,,,,0.0,0.23,0.0,0.25,0.0,0.0,1.0,0.0,train
pjwrqxbj977,2023-2,自动化,1,1.9,0.0,1.0,0.0,0.93,0.0,0.0,0.25,0.0,0.0,1.0,0.51,train
pjwrqxbj978,2023-2,材料科学与工程,0,2.02,0.0,1.0,0.0,0.93,0.0,0.0,0.0,0.0,0.0,1.0,0.68,train
pjwrqxbj979,2023-2,机器人工程,1,1.92,0.0,1.0,0.0,0.93,0.44,0.0,0.0,0.0,0.0,1.0,0.63,train
pjwrqxbj980,2023-2,应用化学,0,2.0,0.0,1.0,0.0,0.93,0.44,0.0,0.25,0.0,0.0,1.0,0.0,train
pjwrqxbj983,2023-2,材料科学与工程,0,2.02,0.0,1.0,0.0,0.93,0.12,0.0,0.0,0.0,0.0,1.0,0.0,train
pjwrqxbj984,2023-2,应用化学,0,2.25,0.0,1.0,0.0,0.93,0.12,0.0,0.25,0.0,0.0,1.0,0.61,train
pjwrqxbj985,2023-2,材料科学与工程,1,1.9,0.0,1.0,0.0,0.93,0.23,0.0,0.0,0.0,0.0,1.0,0.55,train
pjwrqxbj988,2023-2,网络空间安全,1,1.985714285714285,0.0,1.0,0.0,0.93,0.44,0.0,0.25,0.0,0.0,1.0,0.53,train
pjwrqxbj988,2024-1,,0,,,,,0.0,0.44,0.0,0.25,0.0,0.0,1.0,0.53,train
pjwrqxbj991,2023-2,微电子科学与工程,0,2.1666666666666665,0.0,1.0,0.0,0.93,0.23,0.0,0.0,0.0,0.0,1.0,0.0,train
pjwrqxbj992,2023-2,材料科学与工程,1,1.88,0.0,1.0,0.0,0.93,0.12,0.0,0.0,0.0,0.0,1.0,0.0,train
pjwrqxbj993,2023-2,材料科学与工程,0,2.04,0.0,0.0,0.0,1.0,1.0,0.0,0.25,0.0,0.0,1.0,0.61,train
pjwrqxbj994,2023-2,纳米材料与技术,1,1.6833333333333331,0.0,1.0,0.0,0.93,0.0,0.0,0.0,0.0,0.0,1.0,0.64,train
pjwrqxbj994,2024-1,纳米材料与技术,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.64,train
pjwrqxbj998,2023-2,材料科学与工程,1,1.5833333333333333,1.0,1.0,0.1666666666666666,0.66,0.0,0.0,0.0,0.0,0.0,1.0,0.0,train
pjwrzxbj996,2023-2,材料科学与工程,1,1.0444444444444445,3.0,1.0,0.3333333333333333,0.35,0.0,0.0,0.0,0.0,0.0,1.0,0.56,train
pjwrzxbj996,2024-1,材料科学与工程,0,2.9,0.0,1.0,0.0,0.93,0.0,0.5,0.0,0.0,0.0,1.0,0.56,train
pjwrzxbj996,2024-2,材料科学与工程,1,0.7999999999999999,0.0,1.0,0.0,0.93,0.0,0.0,0.0,0.0,0.0,1.0,0.56,train
pjwtqxbj913,2023-2,生物技术,1,1.96,0.0,1.0,0.0,0.93,0.23,0.0,0.0,0.0,0.0,1.0,0.58,train
pjwtqxbj914,2023-2,生物医学工程,0,2.04,0.0,0.0,0.0,1.0,1.0,0.0,0.75,0.17,0.0,1.0,0.64,train
pjwtqxbj918,2023-2,智能医学工程,1,1.275,0.0,1.0,0.0,0.93,0.0,0.0,0.0,0.0,0.0,1.0,0.0,train
pjwtqxbj918,2024-2,智能医学工程,1,1.4,0.0,1.0,0.0,0.93,0.0,0.0,0.0,0.0,0.0,1.0,0.0,train
pjwtqxbj920,2023-2,生物医学工程,0,2.06,0.0,1.0,0.0,0.93,0.23,0.0,0.0,0.0,0.0,1.0,0.0,train
pjwtqxbj921,2023-2,智能医学工程,1,1.88,0.0,1.0,0.0,0.93,0.12,0.0,0.25,0.0,0.0,1.0,0.0,train
pjwtqxbj922,2023-2,智能医学工程,0,2.2,0.0,0.0,0.0,1.0,0.23,0.0,0.0,0.0,0.0,1.0,0.71,train
pjwtqxbj925,2023-2,网络空间安全,0,2.0142857142857142,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.67,train
pjwtqxbj928,2023-2,生物技术,1,1.72,0.0,2.0,0.0,0.87,0.44,0.0,0.0,0.0,0.0,1.0,0.0,train
pjwtqxbj929,2023-2,生物医学工程,1,1.66,0.0,1.0,0.0,0.93,0.44,0.0,0.0,0.0,0.71,1.0,0.0,train
pjwtqxbj930,2023-2,生物技术,1,1.92,0.0,1.0,0.0,0.93,0.0,0.0,0.75,0.0,0.0,1.0,0.0,train
pjwtqxbj931,2023-2,生物医学工程,0,2.16,0.0,0.0,0.0,1.0,0.23,0.0,0.75,0.0,0.0,1.0,0.73,train
pjwtqxbj932,2023-2,生物技术,1,1.92,0.0,1.0,0.0,0.93,0.0,0.0,0.75,0.0,0.0,1.0,0.0,train
pjwtqxbj933,2023-2,生物医学工程,1,1.92,0.0,1.0,0.0,0.93,0.12,0.0,0.0,0.0,0.0,1.0,0.0,train
pjwtqxbj935,2023-2,电子科学与技术,0,2.333333333333333,0.0,1.0,0.0,0.93,1.0,0.0,0.0,0.0,0.0,1.0,0.0,train
pjwtqxbj939,2023-2,生物技术,1,1.56,0.0,2.0,0.0,0.87,0.0,0.0,0.0,0.0,0.0,1.0,0.57,train
pjwtqxbj941,2023-2,智能医学工程,0,2.171428571428572,0.0,2.0,0.0,0.87,0.0,0.0,0.0,1.0,0.0,1.0,0.67,train
pjwtqxbj942,2023-2,生物医学工程,1,1.885714285714286,1.0,0.0,0.1428571428571428,0.76,0.0,0.0,0.25,0.0,0.0,1.0,0.7,train
pjwtqxbj943,2023-2,智能医学工程,0,2.08,0.0,0.0,0.0,1.0,0.12,0.0,0.75,0.0,0.0,1.0,0.81,train
pjwtqxbj944,2023-2,智能医学工程,0,2.02,0.0,1.0,0.0,0.93,0.12,0.0,0.0,0.0,0.0,1.0,0.56,train
pjwtqxbj946,2023-2,智能医学工程,0,2.04,0.0,0.0,0.0,1.0,0.23,0.0,0.75,1.0,0.0,1.0,0.74,train
pjwtqxbj947,2023-2,软件工程,0,2.0,0.0,1.0,0.0,0.93,0.0,0.0,0.0,0.0,0.0,1.0,0.0,train
pjwtqxbj950,2023-2,生物技术,1,1.64,0.0,2.0,0.0,0.87,0.0,0.0,0.0,0.0,0.0,1.0,0.57,train
pjwtqxbj952,2023-2,智能医学工程,1,1.7600000000000002,0.0,1.0,0.0,0.93,0.23,0.0,0.0,0.0,0.0,1.0,0.55,train
pjwtqxbj953,2023-2,智能医学工程,0,2.0,0.0,1.0,0.0,0.93,1.0,0.0,0.0,0.0,0.0,1.0,0.0,train
pjwtqxbj954,2023-2,生物医学工程,0,2.0166666666666666,0.0,2.0,0.0,0.87,0.0,0.0,0.0,0.0,0.0,1.0,0.0,train
pjwtqxbj957,2023-2,智能医学工程,1,1.96,0.0,1.0,0.0,0.93,0.12,0.0,0.25,0.0,0.0,1.0,0.0,train
pjwtqxbj959,2023-2,生物医学工程,0,2.16,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.64,train
pjwtqxbj960,2023-2,生物医学工程,1,1.88,0.0,1.0,0.0,0.93,0.0,0.0,0.0,0.0,0.0,1.0,0.66,train
pjwtqxbj965,2023-2,空间科学与技术,0,2.06,0.0,1.0,0.0,0.93,1.0,0.0,0.75,0.03,0.0,1.0,0.55,train
pjwtqxbj967,2023-2,网络空间安全,1,1.985714285714285,0.0,1.0,0.0,0.93,0.44,0.0,0.0,0.0,0.0,1.0,0.52,train
pjwtqxbj968,2023-2,智能医学工程,1,1.8571428571428568,0.0,1.0,0.0,0.93,0.23,0.0,0.0,0.0,0.0,1.0,0.52,train
pjwtqxbj969,2023-2,生物医学工程,1,1.72,0.0,2.0,0.0,0.87,0.0,0.0,0.75,0.03,0.0,1.0,0.0,train
pjwtqxbj971,2023-2,生物医学工程,0,3.0352941176470587,0.0,5.0,0.0,0.67,0.0,0.0,0.0,1.0,0.97,1.0,0.65,train
pjwtqxbj971,2024-1,生物医学工程,0,3.185714285714286,0.0,0.0,0.0,1.0,0.0,0.78,0.0,1.0,0.97,1.0,0.65,train
pjwtqxbj971,2024-2,生物医学工程,1,1.8285714285714287,1.0,1.0,0.1428571428571428,0.69,0.0,0.5,0.0,1.0,0.97,1.0,0.65,train
pjwtqxbj972,2023-2,电子科学与技术,0,2.45,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.0,1.0,0.76,train
pjwtqxbj974,2023-2,智能医学工程,0,2.18,0.0,0.0,0.0,1.0,0.44,0.0,0.0,0.0,0.0,1.0,0.66,train
pjwtqxbj976,2023-2,生物医学工程,1,1.88,0.0,1.0,0.0,0.93,0.0,0.0,0.0,0.0,0.0,1.0,0.0,train
pjwtqxbj977,2023-2,生物医学工程,1,1.6800000000000002,0.0,2.0,0.0,0.87,0.12,0.0,0.0,0.0,0.0,1.0,0.0,train
pjwtqxbj979,2023-2,生物医学工程,0,2.16,0.0,0.0,0.0,1.0,0.23,0.0,0.0,1.0,0.0,1.0,0.68,train
pjwtqxbj982,2023-2,空间科学与技术,0,2.18,0.0,0.0,0.0,1.0,0.12,0.0,0.25,0.0,0.0,1.0,0.71,train
pjwtqxbj983,2023-2,智能医学工程,0,2.04,0.0,0.0,0.0,1.0,0.23,0.0,0.0,0.0,0.0,1.0,0.5,train
pjwtqxbj984,2023-2,智能医学工程,1,1.9,0.0,1.0,0.0,0.93,1.0,0.0,0.25,0.0,0.0,1.0,0.0,train
pjwtqxbj985,2023-2,智能医学工程,1,1.88,0.0,1.0,0.0,0.93,0.23,0.0,0.0,0.0,0.0,1.0,0.0,train
pjwtqxbj987,2023-2,生物医学工程,0,2.12,0.0,0.0,0.0,1.0,0.23,0.0,0.75,0.0,0.0,1.0,0.56,train
pjwtqxbj988,2023-2,电子科学与技术,0,2.02,0.0,1.0,0.0,0.93,1.0,0.0,0.25,0.0,0.0,1.0,0.56,train
pjwtqxbj993,2023-2,生物医学工程,1,1.96,0.0,1.0,0.0,0.93,0.44,0.0,0.0,0.0,0.0,1.0,0.0,train
pjwtqxbj998,2023-2,电子科学与技术,0,2.3,0.0,1.0,0.0,0.93,0.23,0.0,0.0,0.0,0.0,1.0,0.0,train
pjwtzxbj996,2023-2,生物医学工程,1,1.92,0.0,1.0,0.0,0.93,0.0,0.0,0.0,0.0,0.0,1.0,0.56,train
pjwuzxbj992,2023-2,微电子科学与工程,0,2.414285714285714,0.0,1.0,0.0,0.93,0.12,0.0,0.0,0.23,0.0,1.0,0.62,train
pjwuzxbj995,2023-2,微电子科学与工程,0,2.433333333333333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.77,train
pjxpqxbj911,2023-2,英语,0,2.8666666666666667,0.0,1.0,0.0,0.93,0.44,0.0,0.0,0.0,0.0,1.0,0.52,train
pjxpqxbj912,2023-2,翻译,0,2.82,0.0,1.0,0.0,0.93,0.44,0.0,0.0,0.0,0.0,1.0,0.57,train
pjxpqxbj914,2023-2,英语,0,2.65,0.0,0.0,0.0,1.0,0.12,0.0,0.25,0.0,0.0,1.0,0.71,train
pjxpqxbj915,2023-2,翻译,0,2.44,0.0,3.0,0.0,0.8,0.12,0.0,0.0,0.2,0.0,1.0,0.0,train
pjxpqxbj916,2023-2,翻译,0,2.78,0.0,1.0,0.0,0.93,0.44,0.0,0.0,0.43,0.0,1.0,0.67,train
pjxpqxbj918,2023-2,翻译,0,2.3875,0.0,2.0,0.0,0.87,0.0,0.0,0.0,0.0,0.0,1.0,0.69,train
pjxpqxbj919,2023-2,翻译,0,2.3375,0.0,2.0,0.0,0.87,0.0,0.0,0.0,0.0,0.0,1.0,0.53,train
pjxpqxbj920,2023-2,翻译,0,2.4,0.0,1.0,0.0,0.93,0.0,0.0,0.0,0.0,0.0,1.0,0.75,train
pjxpqxbj920,2024-1,翻译,0,3.8,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.75,train
pjxpqxbj920,2024-2,翻译,0,2.74,0.0,1.0,0.0,0.93,0.0,0.88,0.0,0.0,0.0,1.0,0.75,train
pjxpqxbj924,2023-2,日语,0,2.466666666666667,0.0,0.0,0.0,1.0,0.12,0.0,0.0,0.0,0.0,1.0,0.68,train
pjxpqxbj925,2023-2,日语,0,2.333333333333333,0.0,1.0,0.0,0.93,0.0,0.0,0.0,0.0,0.0,1.0,0.0,train
pjxpqxbj926,2023-2,翻译,0,2.6100000000000003,0.0,2.0,0.0,0.87,0.23,0.0,0.25,0.0,0.0,1.0,0.61,train
pjxpqxbj927,2023-2,日语,0,2.2333333333333334,0.0,1.0,0.0,0.93,0.12,0.0,0.0,0.0,0.0,1.0,0.0,train
pjxpqxbj930,2023-2,翻译,0,2.32,0.0,4.0,0.0,0.73,0.0,0.0,0.0,0.0,0.0,1.0,0.0,train
pjxpqxbj932,2023-2,英语,0,2.2777777777777777,0.0,4.0,0.0,0.73,0.0,0.0,0.0,0.0,0.0,1.0,0.5,train
pjxpqxbj933,2023-2,英语,0,2.522222222222222,0.0,2.0,0.0,0.87,0.44,0.0,0.0,0.33,0.0,1.0,0.66,train
pjxpqxbj934,2023-2,电子商务,0,3.5933333333333333,0.0,0.0,0.0,1.0,0.23,0.0,0.0,0.0,0.0,1.0,0.6,train
pjxpqxbj934,2024-1,电子商务,0,2.16,0.0,0.0,0.0,1.0,0.23,0.54,0.0,0.0,0.0,1.0,0.68,train
pjxpqxbj934,2024-2,电子商务,0,2.2,0.0,0.0,0.0,1.0,0.23,0.67,0.0,0.0,0.0,1.0,0.68,train
pjxpqxbj937,2023-2,英语,0,2.8,0.0,1.0,0.0,0.93,0.23,0.0,0.75,0.97,0.0,1.0,0.0,train
pjxpqxbj941,2023-2,英语,0,3.011111111111111,0.0,0.0,0.0,1.0,0.8,0.0,0.25,0.0,0.0,1.0,0.73,train
pjxpqxbj944,2023-2,英语,0,2.6444444444444444,0.0,1.0,0.0,0.93,0.12,0.0,0.25,0.77,0.0,1.0,0.0,train
pjxpqxbj945,2023-2,翻译,0,2.72,0.0,0.0,0.0,1.0,1.0,0.0,0.25,0.13,0.0,1.0,0.67,train
pjxpqxbj946,2023-2,英语,1,2.18,1.0,3.0,0.1,0.61,0.0,0.0,0.0,0.0,0.0,1.0,0.0,train
pjxpqxbj954,2023-2,英语,0,2.488888888888889,0.0,2.0,0.0,0.87,0.23,0.0,0.0,0.0,0.0,1.0,0.54,train
pjxpqxbj955,2023-2,日语,0,2.1625,0.0,1.0,0.0,0.93,0.0,0.0,0.25,0.27,0.0,1.0,0.0,train
pjxpqxbj956,2023-2,日语,0,2.35,0.0,1.0,0.0,0.93,0.44,0.0,0.0,0.0,0.0,1.0,0.5,train
pjxpqxbj957,2023-2,翻译,0,2.5,0.0,2.0,0.0,0.87,0.0,0.0,0.25,0.0,1.0,1.0,0.57,train
pjxpqxbj961,2023-2,英语,0,2.455555555555556,0.0,3.0,0.0,0.8,0.0,0.0,0.75,0.0,0.0,1.0,0.52,train
pjxpqxbj962,2023-2,英语,0,2.7333333333333334,0.0,1.0,0.0,0.93,0.23,0.0,0.0,0.0,0.0,1.0,0.78,train
pjxpqxbj963,2023-2,英语,1,2.23,1.0,3.0,0.1,0.61,0.65,0.0,0.0,0.0,0.0,1.0,0.0,train
pjxpqxbj967,2023-2,翻译,0,2.4,0.0,3.0,0.0,0.8,0.23,0.0,0.25,1.0,0.0,1.0,0.72,train
pjxpqxbj969,2023-2,英语,1,2.2,1.0,1.0,0.1111111111111111,0.73,0.23,0.0,0.0,0.17,0.0,1.0,0.67,train
pjxpqxbj971,2023-2,翻译,0,2.66,0.0,1.0,0.0,0.93,0.0,0.0,0.0,0.0,0.0,1.0,0.53,train
pjxpqxbj972,2023-2,英语,0,2.525,0.0,1.0,0.0,0.93,0.0,0.0,0.0,0.07,0.0,1.0,0.79,train
pjxpqxbj973,2023-2,英语,0,2.7333333333333334,0.0,1.0,0.0,0.93,0.23,0.0,0.25,0.0,0.0,1.0,0.74,train
pjxpqxbj975,2023-2,翻译,0,2.34,0.0,4.0,0.0,0.73,0.0,0.0,0.0,0.0,0.0,1.0,0.67,train
pjxpqxbj976,2023-2,日语,0,2.4833333333333334,0.0,0.0,0.0,1.0,0.44,0.0,0.0,0.0,0.0,1.0,0.69,train
pjxpqxbj977,2023-2,翻译,0,2.48,0.0,3.0,0.0,0.8,0.12,0.0,0.75,1.0,0.0,1.0,0.61,train
pjxpqxbj978,2023-2,金融学,0,3.4166666666666665,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.68,train
pjxpqxbj978,2024-1,金融学,0,3.3285714285714287,0.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,1.0,0.0,train
pjxpqxbj978,2024-2,金融学,0,2.02,0.0,1.0,0.0,0.93,1.0,0.75,0.0,0.0,0.0,1.0,0.0,train
pjxpqxbj979,2023-2,日语,0,2.2,0.0,1.0,0.0,0.93,0.23,0.0,0.75,0.03,0.0,1.0,0.55,train
pjxpqxbj981,2023-2,工业工程,1,1.6666666666666667,0.0,1.0,0.0,0.93,0.12,0.0,0.75,0.0,0.0,1.0,0.56,train
pjxpqxbj985,2023-2,日语,0,2.333333333333333,0.0,1.0,0.0,0.93,0.23,0.0,0.0,0.0,0.0,1.0,0.5,train
pjxpqxbj986,2023-2,翻译,0,2.56,0.0,3.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,1.0,0.67,train
pjxpqxbj987,2023-2,英语,0,2.7333333333333334,0.0,0.0,0.0,1.0,0.23,0.0,0.0,0.0,0.0,1.0,0.68,train
pjxpqxbj992,2023-2,集成电路设计与集成系统,0,2.3666666666666667,0.0,0.0,0.0,1.0,0.12,0.0,0.25,0.0,0.0,1.0,0.56,train
pjxpqxbj994,2023-2,英语,0,2.577777777777777,0.0,1.0,0.0,0.93,0.12,0.0,0.0,0.67,0.0,1.0,0.65,train
pjxpqxbj997,2023-2,英语,0,2.4625,0.0,2.0,0.0,0.87,0.0,0.0,0.25,0.0,0.76,1.0,0.58,train
pjxpqxbj998,2023-2,英语,0,2.411111111111111,0.0,3.0,0.0,0.8,0.0,0.0,0.75,0.0,0.0,1.0,0.54,train
pjxqqxbj947,2023-2,汉语言文学,1,1.5666666666666669,0.0,1.0,0.0,0.93,0.0,0.0,0.75,0.0,0.0,1.0,0.0,train
pjxqqxbj949,2023-2,汉语言文学,1,1.7166666666666668,0.0,0.0,0.0,1.0,0.23,0.0,0.25,0.93,0.0,1.0,0.65,train
pjxqqxbj951,2023-2,汉语言文学,1,1.5833333333333333,0.0,1.0,0.0,0.93,0.0,0.0,0.0,0.0,0.0,1.0,0.0,train
pjxqqxbj954,2023-2,哲学,1,1.6666666666666667,0.0,0.0,0.0,1.0,0.0,0.0,0.25,0.0,0.0,1.0,0.68,train
